Date	Netherlands	Greece
3/31/1995	439.943	395.955
4/3/1995	440.05	397.051
4/4/1995	443.226	393.384
4/5/1995	443.969	394.301
4/6/1995	445.228	390.776
4/7/1995	448.331	394.457
4/10/1995	449.303	392.995
4/11/1995	447.785	391.467
4/12/1995	448.496	386.077
4/13/1995	448.979	382.943
4/14/1995	448.979	381.052
4/17/1995	448.979	378.939
4/18/1995	446.752	380.696
4/19/1995	444.784	386.565
4/20/1995	447.476	392.134
4/21/1995	450.751	392.134
4/24/1995	450.508	392.134
4/25/1995	451.174	401.924
4/26/1995	456.609	400.765
4/27/1995	457.577	400.71
4/28/1995	459.501	401.552
5/1/1995	463.895	401.552
5/2/1995	466.343	413.297
5/3/1995	467.884	414.573
5/4/1995	467.989	425.932
5/5/1995	467.989	440.842
5/8/1995	466.863	462.948
5/9/1995	466.323	455.784
5/10/1995	470.064	446.212
5/11/1995	473.488	447.43
5/12/1995	474.647	442.87
5/15/1995	474.575	438.486
5/16/1995	474.762	448.256
